15592,300,250,266,Shvtas
23535,471,1109,613,GijoJohnofficial
17392,1035,1333,309,thevoguishaffair
14593,85,104,178,anupa_anunomics
182294,571,2032,1366,Bhumika_t
201832,2129,2490,4057,DilliFoodies
19880,126,178,59,trumatter
28028,304,1093,2536,thatrebelchildblogs
13176,109,261,322,archita_rajkumari
14150,465,200,418,smittencurve
21933,285,647,907,stutichangle
93956,1271,2304,2365,inikhilwatts
5235,669,1267,350,devil._in_.disguise
23068,66,71,13,Stylesecretsbyjineesha
72585,642,1338,2574,the_instyle_journal
26336,224,261,295,thesliceofliving
36110,247,1060,321,Djfarmeen
40392,57,24,424,myabraam
5291,79,89,37,Fatema_m92
32004,3668,2322,1107,sanil_sawant
36515,1105,1736,1156,tastingwithfingers
14109,420,146,359,ayushk9
18190,207,117,171,Prakulbakshiofficial
22457,600,517,575,riyansh_nagar
58479,1497,8612,10163,Sudhanshuthakurr
15110,385,399,727,trendzstop_
32113,3939,5614,3431,arlene_vernon
25887,402,485,119,lilboxoffashion
37494,1790,1659,3581,officialtanyachaudhari
19151,235,347,306,izzy_hipster
7170,473,498,296,Thedivinediva_
17491,241,1050,1002,Swathihariharan
4745,1344,2293,3149,harsh.toke
10619,20,28,257,diya.nailart.loom
28688,314,53,585,KAURISMATICFOODIE
95634,1237,1304,1853,simplyshalini
39697,12,22,23,dhempe
6412,327,520,515,eat_therapyy
20207,894,460,389,wanderlayer
22095,309,223,197,iamrahulroyal
13814,428,382,445,Inher_paradise
3122,205,217,212,The.vogue.lust
15837,90,104,83,Ahadhalariphotography
16722,750,1021,517,cosmolifestyler
28620,151,787,720,Itsriyapaul
12421,61,29,71,_theroshninandi_
106193,5943,11204,11581,realshreyakumari
16558,7,105,240,spoiled.by.style
101058,1236,523,883,love_urbanutopia
94175,18,961,1225,Realruchisingh
55956,1426,1454,1843,dawatehind
11762,75,63,66,jugnu_agarwal
75035,1081,1611,1190,Pankajgajwani44
41522,200,454,185,varshavinn
43312,1704,787,3654,foodie_anshul
46867,3,25,5,Kiranguptalabel
22121,363,478,424,nupurmunot
10500,48,46,43,Diveasarin1
20912,616,84,125,suyug_the_travel_junoon
11719,293,438,427,Foodism_Siliguri
24910,449,543,86,ana_sunshine6
9610,215,213,358,minakshiiiiiiiii
6852,669,1540,798,little_jar_of_happiness
4907,32,44,43,Shilpa0830
24423,202,247,256,thefashion_divaa
45502,1413,583,1770,Delhicravings
2226,144,205,247,lovingblush
24405,261,83,276,eshahindocha
12509,1566,51,111,chatori_food4soul
113902,11982,11433,8711,Don_kaurleone
40303,693,496,532,Lighthouse_foodie
43553,24,39,22,IndianFoodExpress
11467,239,417,517,tinkeringstyle
50221,558,915,544,Goofytalkies
3947,13,13,54,Indianmommie
45902,127,499,130,Nikita.kat
41997,207,1076,1020,FKMAKEUPARTIST
271379,8743,5600,10933,sonali_swami
9579,869,829,797,_mr__yadav_
10009,80,102,305,allblogged
12531,1594,1636,1369,the_rustic_tassel
3823,106,71,90,dimplessweetlife
4820,50,76,86,Myrabeautybliss
4543,91,63,66,perspectivebyjahnviarora
6611,247,373,26,Mylilworldmoin
65073,290,463,1946,priya.agg
10368,1063,988,674,Sanjeevxni
269610,1181,1293,2209,theorangeepistles
9545,181,305,502,Thewinsomevibe
4807,412,403,397,the.foodista
100979,2227,978,2696,shital____gohel
5484,105,29,366,rupali_aka_max13
364490,2151,8381,9083,simplekaul
9691,831,935,827,ipuneettokas
35625,276,148,233,Abhishekjha09
12935,524,207,487,Bhavxni
8886,910,1018,1569,therohitpahuja
224274,2827,8704,10450,arjunvajpai
37369,8573,2437,2468,harshtyagi509
33845,2138,2754,2658,Kartavya_makwana
10593,149,139,24,asmitaabhatnagar
102047,1777,776,1231,Mallaica
56658,1653,216,8063,_insta_shayari_
5006,72,59,115,Itsjasminekukreja
8697,78,107,761,indian.travel.blogger
9069,36,266,70,photopado
5402,280,288,266,Miss.snehalsalunke
52311,807,1267,1685,maheshkeshwala
277377,1862,8214,8183,nivrity_das
10916,92,46,288,momtasticworld
18403,1864,836,1532,wannabefoodie69
28757,494,303,339,foodcrazer
4546,78,233,99,anishamandal98
33383,332,452,645,_r829ns_
94403,691,1733,8744,Gauravmolri
9398,722,849,930,Travel_freak_mr_sharma
18374,60,25,423,Karina_shahare
7738,16,215,255,feedingappetite
9101,724,345,493,_theglitterchic
15388,512,546,679,Foodiepreneur
7079,150,217,266,the_spices_of_india
9225,108,180,55,babyanaaya
240196,9949,4566,4036,Ankita_extreme
110469,842,1861,1570,abuzarajex.if01
10027,91,319,344,megha.dasgupta
31593,555,1320,117,Missfashioncupid
80356,2549,3534,7293,notyourbaebuddy
8786,40,53,70,munching.lamhe
33481,505,1537,642,theprettycitygirl
4093,94,82,81,foxonfeet
8651,76,144,145,Fabzfoods
39660,1658,1518,1249,the.baljinder
4186,98,84,106,believe_in_sisodiya
17193,446,500,664,Aadya_mom
98217,785,600,1393,itssshikha
9448,91,185,138,prekshabardia03
3053,136,212,185,streettrotter
4391,27,35,78,reviewbymitali
10636,391,186,337,Silly_pie06
8868,30,54,47,foodaholix_blog
21480,948,1932,1070,Nagpur_buzz
8665,57,171,83,Fashionreinvent
39471,81,3506,4381,hardcorefoodie5
69184,326,229,746,Mahiisingla
96411,2319,2299,1105,Sheenlibra
4801,325,209,163,fascinating_lifestyle56
4152,141,210,160,jinny.kay
16232,304,227,186,Blogeshwari.in
61452,2349,1318,3878,prachithesingh
42587,1580,1666,1133,Baristakrut
30573,74,243,208,nitinaroraphotography
18595,271,654,511,Deepak_patel_photography
20391,34,580,573,jayshreebhagat
90010,333,1052,1094,Ria.goenka
32566,721,1486,151,Sheprettylaw
100538,1158,4970,4475,bhumygor
30044,482,641,525,thetravellingbeee
51192,133,120,133,dj__style
15398,106,350,33,medhavista
26136,97,257,215,element.bykt
12581,634,543,456,Crazy.junkies
10942,1004,416,672,Pet__aur___plate
114140,6195,5784,6766,madhulika_r.96
9762,289,248,324,Richestilo
21750,276,68,301,namratabs
11842,808,976,911,g.a.m.a.n
29817,171,153,312,Galliyokakhana_rozana
29431,458,480,315,Dancechoksidance
127473,1421,456,1496,men_and_shoes
35164,252,406,452,I_m_ankit_
98437,2047,3088,2893,my_fernweh_soul
13233,252,326,282,Wanderer_ali
10421,218,61,111,Thedelhistreets
9106,378,398,540,VogueNlullabies
12993,2525,2347,2043,the_indian_messieurs
8548,25,245,430,TheModishLust
10310,123,96,149,Saniyadawar
68859,77,337,79,dolly_Kaur_
87657,96,116,43,Stylewithyuga
8901,174,224,227,_mr_coolest_
10502,388,350,486,subhankhannn
11058,1182,578,857,dilsechatore
30966,1854,2431,2168,yogeshushetty
15423,178,43,190,allarsh
29758,242,89,58,Makeup_bobbychopra
17532,1248,639,660,yogaurmi.india
8705,254,232,147,thewegoals
581486,22102,34347,28207,shrutika_official
4249,1609,1463,1695,Ayushishekhawat_official
34304,577,700,1120,_prettylittleliar_17
59432,5568,6009,5715,yashbhatter
9033,88,53,103,himanshugandhiofficial
9492,219,194,211,d_glittergirl
227164,161,185,268,stefygupta
42386,2866,2159,4708,Parthbajaj
31114,1152,300,755,thegypsypanda
11891,558,583,151,Pinkeypreet
7491,139,1349,234,rainbow_blooms96
9527,91,156,161,photoshoto_hojae
46755,507,1653,2231,syedaltamash
29058,1238,1627,1279,nikhil2k95
32319,1038,1632,1107,Im_rajanluthra
8765,694,404,553,foodicted.fellow
7241,637,322,552,foodiesground
12376,350,263,185,swayta.goswami
3399,44,56,57,Shivangi_a_gandhi
3788,1781,518,587,meettnna
3085,45,41,43,Themakeupbycynthia
3253,265,35,318,The_style_statement._
15823,331,796,626,thecuriousjalebi
4126,167,82,320,veggy.eats
4885,1257,1225,1209,Purnendukhatri
98480,1463,3646,2500,Theshrutikerni
121480,16639,12884,13735,shaunromy
7373,911,1739,1785,man_of_heart_beats
60261,4983,13310,2921,monkey.inc
14628,52,74,77,digital_khau_galli
5522,295,213,284,Versatilityprevails
15225,298,50,54,jugniandco_
113549,326,701,1976,dikshamalik.malik
13215,19,19,31,01akshaysingh
5388,63,165,104,Hungrynomadss
5294,172,500,265,travel_fork
4850,610,420,456,apekshamishra09
52611,1328,697,987,akshay_partha
9385,214,377,470,dharti.ka.bhoj
4927,172,142,194,Ashish_arrow
3171,108,152,119,Freaky_mist
10027,174,259,353,Dilsemiddleclass
3378,54,97,79,foodiesheavenn
101302,314,365,1268,highonkokken
11116,401,122,512,growing_with_nemit
137086,590,603,973,Aditigautamofficial
11101,279,306,242,fooddiariesss
104379,750,1314,1251,amitkrsg
8022,422,458,463,fascinatinglegacy
4011,303,221,304,iamthesimwal
38812,110,346,357,mytwolittlefeet
6653,473,500,431,thegourmetjournal
11041,122,176,148,Foodandthoughtsblog
8637,193,360,382,Iofficialarmaan
4783,11,134,91,Madzz_21
6793,329,571,540,hemadrita
53055,5294,3868,3714,hemalingle
6141,247,675,213,apurvagantola
10698,623,598,853,foodinveinss
44498,2098,1307,1852,Shivy231
43121,3160,1937,2472,Yudister_narayan
51840,5871,5699,3691,Vipin_yadav_official
68118,1256,6821,5221,being_batman1
38882,778,1405,1272,tabishmistry
53815,4456,4271,1441,Aditi_myakal
33671,240,2777,1675,avimanshah
7354,470,228,484,_firstbite_
18337,442,397,753,dimpyscorner
11110,1005,675,598,somrita_d
12457,515,486,222,Spoonofflavours
72067,1529,1047,866,iam_amitsobti
9715,1189,1974,1171,Vasavi_Prakash_
5375,104,257,171,fitfoodiebee
9080,65,202,207,soulful__foodie
33709,54,306,163,Thatchori
5501,626,667,725,Souravxo
44073,9812,4261,7922,siddharthkerkar
69200,3659,3040,467,PayalTosyan
12122,115,198,469,_jaipur.foodies_
48190,64,134,1504,Devanshkamboj
37397,230,92,264,styleeverystory
42352,185,67,76,Konkonadatta_
41770,39,95,163,spicytarian
11119,284,322,521,Adi.anjaani
10436,1111,235,1050,delhihiteraman
6626,386,508,487,balagraphy
93695,1049,1537,2969,Prachi_maulingker
6745,309,279,197,ladyinpinkjacket
3927,120,79,96,nanditaagoyal
43541,628,441,1128,shefali_upadhyaya
9982,9,72,295,r4review
17638,49,54,42,pie.bhavyanarang
38772,335,918,943,feedthestyle.blog
3149,215,213,232,kanpur_food_network
64684,64,1340,2215,thatanonymousmiss
81935,1894,1446,2158,Sujomathew
205931,273,130,214,sudeshnasworld
104843,435,1485,1117,cravingsandcalories
26713,95,196,224,Babelicious_indiana
22481,962,1556,100,_b_thirteen_
50570,468,1147,1526,Saumya_somi
10352,93,158,132,varshachauhan_
19628,491,912,278,trippy_procrastinator
41062,746,777,444,Intensefashionchic01
23478,559,551,50,thetinkersoul
17240,133,121,203,Shopaholicadventures
10033,2139,1751,2531,Jannatkhuranaa
9325,170,63,238,Pranjikhanna
118849,960,484,4029,riyaadixit
9825,707,509,1165,priyanka_the_explorer
9139,153,110,70,Chakshujain17
34578,283,252,401,Heisgotthestyle
344635,1781,1006,521,deepikabutola
14629,77,82,60,chennaiwanderergirl
30802,388,602,346,Ashwinvias
9235,266,624,427,thecrazy_explorer
17010,666,97,1068,thevoguedge
24188,1538,648,1060,The_blunt_of_ombre
49034,1586,2260,1792,Kuldeepshashi
17111,965,729,440,ritikakuniyal
58737,2461,883,3293,walkwithchennai
18137,755,783,343,Ankiihny
27178,937,961,1429,Ivneettogar
5431,1002,1019,127,alaikavasani
12914,268,339,351,fizzy_bong
9870,169,166,186,Akshay26
41661,534,400,284,Varsha.tyagi16
111210,3307,4555,1494,iammaheshkumar
33824,247,736,1072,Palletesandpaint
26132,275,315,751,twinklingtina
106135,1073,3237,1217,Foodiedilse
45310,373,631,302,Stylestatements.in
14952,22,22,8,indianbeautybloom
17146,642,838,693,Abhay_vashisht
17818,489,912,108,Muskan_yadv
11697,315,313,309,Foodie__indians
5344,180,532,249,richa.chandrawanshi
5249,66,129,134,Leander_reis
13299,205,335,548,goldengirl_sonalika
18397,283,825,686,Vintagebraid
